lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.001,piml-conservation,small,4482,128,11,303,success,0.006181878037750721,0.0065847961232066154,0.004114843439310789,0.0003595392918214202,0.0003919872688129544,8.530660124961287e-05,399,4.549371242523193
0.001,piml-conservation,small,4482,4096,11,101,nan,0.13814802467823029,0.1460397094488144,0.14135535061359406,0.09816206991672516,0.10165347158908844,0.10087545961141586,0,0.08483409881591797
0.001,piml-conservation,small,4482,4096,11,202,nan,0.05843890458345413,0.0575999915599823,0.05735643953084946,0.023125415667891502,0.021950099617242813,0.0222329068928957,1,0.18847131729125977
0.001,piml-conservation,small,4482,4096,11,303,nan,0.09651109576225281,0.09802883863449097,0.09723962843418121,0.04677926376461983,0.04618345573544502,0.04651087149977684,0,0.07986855506896973
0.01,piml-conservation,large,67074,1024,11,101,nan,0.0868593156337738,0.08759980648756027,0.08650641143321991,0.035534393042325974,0.03531714156270027,0.035827480256557465,0,0.03147482872009277
0.01,piml-conservation,large,67074,1024,11,202,nan,0.07854366302490234,0.07778901606798172,0.07885166257619858,0.03262941911816597,0.031730473041534424,0.03288732096552849,-1,0.014246940612792969
0.01,piml-conservation,large,67074,1024,11,303,nan,0.09548269957304001,0.10123622417449951,0.09648831933736801,0.03643631190061569,0.03843234106898308,0.03692776337265968,0,0.029511213302612305
0.01,piml-conservation,large,67074,128,11,101,nan,0.09437556564807892,0.09477680176496506,0.08818618208169937,0.04580951854586601,0.04605890437960625,0.040772709995508194,6,0.11930561065673828
0.01,piml-conservation,large,67074,128,11,202,nan,0.07796993851661682,0.07816439121961594,0.08021382987499237,0.03666896000504494,0.03668909892439842,0.03861124441027641,5,0.08432221412658691
0.01,piml-conservation,large,67074,128,11,303,success,0.0026477337814867496,0.0029131348710507154,0.0007843098137527704,9.446628973819315e-05,0.00010899907647399232,2.9659568099305034e-06,399,5.149033784866333
0.01,piml-conservation,large,67074,4096,11,101,nan,0.09766215085983276,0.10130862891674042,0.09841599315404892,0.038524381816387177,0.03918929770588875,0.038718342781066895,-1,0.019150495529174805
0.01,piml-conservation,large,67074,4096,11,202,nan,0.07733334600925446,0.07774034142494202,0.07779721170663834,0.0371517576277256,0.036807429045438766,0.03716215863823891,-1,0.01388859748840332
0.01,piml-conservation,large,67074,4096,11,303,nan,0.0964132621884346,0.10321038961410522,0.09860220551490784,0.03663776442408562,0.03855329379439354,0.03717439994215965,-1,0.016914844512939453
